ID_INTERNO,CLIENTE,ID,NUMERO_COMPRA,ANO_COMPRA,SEQUENCIAL_COMPRA,ESTADO,UNIDADE,CNPJ,ORGAO,ESFERA,MUNICIPIO,VALOR_ESTIMADO,VALOR_HOMOLOGADO,DATA_PUBLICACAO,DATA_DISPUTA,MODALIDADE,MODO_DISPUTA,SITUACAO,SRP,LINK_PNCP,LINK_PORTAL,PORTAL
BLL-158A486AD9A4,Cabala,PE 015/2026,PE 015,2026.0,134.0,Bahia,COMISSAO DE LICITACOES,13719646000175,MUNICIPIO DE ITABERABA,M,Itaberaba,11571015.0,,2026-07-23T10:35:43,2026-08-27T09:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/13719646000175/2026/134,https://bllcompras.com/Process/ProcessView?param1=[gkz]cXM2M1XTkBZxOhjDXwRVOP9hA9p/EaYj1LJYD5CxhEpIopfQ_6R7/aTONeQmC1Tp4N5QxmQkNhM1IakDZsS4uszonxLC_tblRaKGXixIUwk=,BLL
BNC-2B80FE798C25,Air Liquide,P.E 021/2026,P.E 021,2026.0,77.0,Bahia,PREFEITURA MUNICIPAL DE IBIRAPITANGA - BA,13846753000164,MUNICIPIO DE IBIRAPITANGA,M,Ibirapitanga,0.0,,2026-08-11T23:29:38,2026-08-25T08:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/13846753000164/2026/77,https://bnccompras.com/Process/ProcessView?param1=[gkz]_Y/QoE19bqFD3Cgse4MCf9TxLzVA77_EwEWrqEmzjYDK3fnUmXpMnmSd03OGC7ekHPwsWbfe4amK4jl3pVIwnq5JYvYT9gqCduSggL4F9x0=,BNC
BBNEW-45994DEB893D,Air Liquide,PE012.2026/2026,PE012.2026,2026.0,2218.0,Bahia,FESBA - FUNDO ESTADUAL DE SAUDE DO ESTADO DA BAHIA,13937032000160,ESTADO DA BAHIA,E,Salvador,57639.5,,2026-08-13T18:30:25,2026-08-27T09:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/13937032000160/2026/2218,https://licitacoes-e2.bb.com.br/aop-inter-estatico/visualizar-processo-publico/1098051,BBNEW
LDIG-7FB096833801,Divena,0012/2026,0012,2026.0,26.0,Minas Gerais,Unidade Unica,16886608000103,MUNICIPIO DE CHAPADA DO NORTE,M,Chapada do Norte,5958710.16,,2026-08-14T09:03:21,2026-08-28T09:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/16886608000103/2026/26,https://app2.licitardigital.com.br/pesquisa/110432,LDIG
LDIG-7FB096833801,Cabala,0012/2026,0012,2026.0,26.0,Minas Gerais,Unidade Unica,16886608000103,MUNICIPIO DE CHAPADA DO NORTE,M,Chapada do Norte,5958710.16,,2026-08-14T09:03:21,2026-08-28T09:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/16886608000103/2026/26,https://app2.licitardigital.com.br/pesquisa/110432,LDIG
PCMG-1DB89CE951CF,Air Liquide,101/2026,101,2026.0,167.0,Minas Gerais,DPSU,17138140000123,EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS,E,Belo Horizonte,0.0,,2026-08-12T09:31:47,2026-08-24T09:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/17138140000123/2026/167,https://www1.compras.mg.gov.br/n/procedimentolei14133/consulta/eletronico/visualizar/2026/101/3051002,PCMG
LDIG-9BC1012298AD,Air Liquide,000018/2026,000018,2026.0,58.0,Minas Gerais,Unidade Única,17963083000117,MUNICIPIO DE ARACUAI,M,Araçuaí,0.0,,2026-08-14T08:30:04,2026-08-27T09:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/17963083000117/2026/58,https://app2.licitardigital.com.br/pesquisa/110421,LDIG
BLL-21727B143E81,Mercedes,018/2026,018,2026.0,71.0,Minas Gerais,MUNICIPIO DE ENGENHEIRO CALDAS,18080655000182,MUNICIPIO DE ENGENHEIRO CALDAS,M,Engenheiro Caldas,2586288.0,,2026-08-11T08:14:18,2026-08-24T12:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/18080655000182/2026/71,https://bllcompras.com/Process/ProcessView?param1=[gkz]wpX4yaHNo96WJP7RvIhSXuxUSANlBbWrwza/S9PG1WBMIS0PRSbKKf6HGAWYWMK1aMrfcT_F6vwHMcdtOH2aKOsearLctBrUsj6A5iySk_E=,BLL
BLL-21727B143E81,Divena,018/2026,018,2026.0,71.0,Minas Gerais,MUNICIPIO DE ENGENHEIRO CALDAS,18080655000182,MUNICIPIO DE ENGENHEIRO CALDAS,M,Engenheiro Caldas,2586288.0,,2026-08-11T08:14:18,2026-08-24T12:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/18080655000182/2026/71,https://bllcompras.com/Process/ProcessView?param1=[gkz]wpX4yaHNo96WJP7RvIhSXuxUSANlBbWrwza/S9PG1WBMIS0PRSbKKf6HGAWYWMK1aMrfcT_F6vwHMcdtOH2aKOsearLctBrUsj6A5iySk_E=,BLL
BLL-21727B143E81,Rodobens,018/2026,018,2026.0,71.0,Minas Gerais,MUNICIPIO DE ENGENHEIRO CALDAS,18080655000182,MUNICIPIO DE ENGENHEIRO CALDAS,M,Engenheiro Caldas,2586288.0,,2026-08-11T08:14:18,2026-08-24T12:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/18080655000182/2026/71,https://bllcompras.com/Process/ProcessView?param1=[gkz]wpX4yaHNo96WJP7RvIhSXuxUSANlBbWrwza/S9PG1WBMIS0PRSbKKf6HGAWYWMK1aMrfcT_F6vwHMcdtOH2aKOsearLctBrUsj6A5iySk_E=,BLL
